category1,category2,shared_commentators
Entertainment,People & Blogs,27954011
Entertainment,Music,26410762
Comedy,Entertainment,25762501
Entertainment,Gaming,25010526
Comedy,People & Blogs,22157643
Music,People & Blogs,21846724
Gaming,People & Blogs,20719112
Comedy,Music,20522376
Comedy,Gaming,20021811
Gaming,Music,19141161
Entertainment,Film & Animation,18492795
Entertainment,Howto & Style,18159613
Howto & Style,People & Blogs,16486737
Film & Animation,People & Blogs,15853127
Comedy,Film & Animation,15391390
Film & Animation,Music,15185549
Comedy,Howto & Style,14963587
Film & Animation,Gaming,14892951
Howto & Style,Music,14518360
Education,Entertainment,13696906
Gaming,Howto & Style,12947361
Entertainment,Science & Technology,12476287
Education,People & Blogs,11915663
Entertainment,News & Politics,11372608
Comedy,Education,11244724
Education,Music,11170152
Film & Animation,Howto & Style,10846662
People & Blogs,Science & Technology,10741629
Comedy,Science & Technology,10308549
Education,Gaming,10281642
Music,Science & Technology,10196258
Gaming,Science & Technology,10055960
News & Politics,People & Blogs,9954285
Music,News & Politics,9470791
Entertainment,Sports,9443982
Comedy,News & Politics,9257344
Education,Film & Animation,8930905
Education,Howto & Style,8418031
People & Blogs,Sports,8038865
Gaming,News & Politics,7829069
Film & Animation,Science & Technology,7776753
Music,Sports,7641923
Gaming,Sports,7538394
Comedy,Sports,7468283
Howto & Style,Science & Technology,7422371
Education,Science & Technology,7280077
Film & Animation,News & Politics,7094777
Education,News & Politics,6896505
Entertainment,Pets & Animals,6724462
Howto & Style,News & Politics,6507088
People & Blogs,Pets & Animals,6139575
News & Politics,Science & Technology,5896729
Comedy,Pets & Animals,5842240
Music,Pets & Animals,5646402
Gaming,Pets & Animals,5614131
Film & Animation,Sports,5378248
Howto & Style,Sports,4985935
Film & Animation,Pets & Animals,4821041
Education,Sports,4722222
Howto & Style,Pets & Animals,4683045
Science & Technology,Sports,4603271
News & Politics,Sports,4350973
Education,Pets & Animals,3986311
Entertainment,Travel & Events,3689300
Autos & Vehicles,Entertainment,3546495
Pets & Animals,Science & Technology,3478453
People & Blogs,Travel & Events,3375524
News & Politics,Pets & Animals,3256525
Music,Travel & Events,3192979
Autos & Vehicles,People & Blogs,3115877
Comedy,Travel & Events,3042755
Autos & Vehicles,Music,2897265
Autos & Vehicles,Comedy,2809182
Autos & Vehicles,Gaming,2705271
Gaming,Travel & Events,2606097
Howto & Style,Travel & Events,2531147
Pets & Animals,Sports,2525279
Film & Animation,Travel & Events,2439554
Autos & Vehicles,Science & Technology,2366797
Education,Travel & Events,2334369
Autos & Vehicles,Education,2194608
Entertainment,Nonprofits & Activism,2189920
News & Politics,Travel & Events,2179502
Science & Technology,Travel & Events,2130048
Autos & Vehicles,Film & Animation,2121480
Autos & Vehicles,Howto & Style,2103058
Nonprofits & Activism,People & Blogs,2032589
Autos & Vehicles,News & Politics,2008347
Music,Nonprofits & Activism,1902050
Comedy,Nonprofits & Activism,1889481
Autos & Vehicles,Sports,1776958
News & Politics,Nonprofits & Activism,1594790
Education,Nonprofits & Activism,1592252
Sports,Travel & Events,1576316
Film & Animation,Nonprofits & Activism,1543413
Gaming,Nonprofits & Activism,1498847
Howto & Style,Nonprofits & Activism,1487602
Pets & Animals,Travel & Events,1331175
Nonprofits & Activism,Science & Technology,1288837
Autos & Vehicles,Pets & Animals,1126552
Nonprofits & Activism,Sports,882464
Autos & Vehicles,Travel & Events,830254
Nonprofits & Activism,Pets & Animals,830192
Nonprofits & Activism,Travel & Events,577970
Autos & Vehicles,Nonprofits & Activism,494035
