author,total_comments
10100389,20106
10077799,11753
10057203,8998
10032740,7360
10018550,6014
10095248,5658
10137477,5164
10001342,5008
10110035,4828
10024581,4399
10105457,4098
10002705,3902
10012876,3859
1011924,3842
10085982,3601
10030138,3497
10099215,3469
10074228,3432
10012947,3404
10111414,3318
10060365,3308
10081399,3267
10132850,3110
10113146,3036
10148001,3001
10039091,2999
1002770,2909
10026791,2882
10121210,2881
1004111,2839
10042221,2703
10029816,2640
10136725,2599
10087615,2590
10044570,2587
10067695,2586
10095828,2555
10020978,2475
10030650,2424
10029461,2376
10031339,2370
10060065,2367
1008270,2367
10007018,2327
10035400,2322
1013942,2312
10077409,2312
10111729,2307
10096068,2215
10120618,2177
10130878,2137
10016038,2130
10005851,2124
10128714,2120
1002844,2099
10087229,2077
10026496,2072
10046594,2052
10039325,2019
10031172,2006
10032868,2002
10043689,1937
10024075,1876
10017744,1876
10066658,1876
10089812,1855
10077753,1849
10141085,1841
10132504,1829
10058277,1816
10023519,1812
10034636,1812
10024940,1772
1002444,1767
10040493,1757
10062248,1755
1000529,1747
10005598,1745
10112870,1729
10133944,1727
10031243,1720
1012924,1702
10061139,1701
10109737,1695
10072601,1694
10017279,1689
10111044,1686
10026722,1674
10136081,1674
10076847,1658
10023427,1649
10087658,1648
10125766,1647
10041282,1608
1007218,1601
10040498,1590
1013455,1587
10145610,1585
10139269,1562
10100080,1555
10123243,1547
10022498,1547
10049178,1544
10008411,1526
1000628,1508
10033702,1476
10086011,1470
10067664,1447
10083388,1438
1002020,1436
10058243,1422
10030015,1418
10046230,1407
10145492,1406
10031419,1391
10134678,1389
10103222,1379
10096634,1377
10023874,1367
10016843,1360
10066760,1356
10048433,1354
10045197,1353
10017286,1339
10068814,1337
10048877,1333
10040459,1317
10130097,1310
10123350,1298
10067034,1298
10057851,1291
10082840,1289
10089878,1287
10085695,1283
10033385,1283
10024108,1274
10010910,1272
10089952,1271
10001200,1263
10005585,1255
10140961,1247
10145436,1246
10031696,1238
10144128,1227
10072027,1227
10035126,1227
10105684,1226
10148860,1226
10086092,1220
10017835,1212
100240,1204
10147362,1199
1006203,1194
10010946,1192
10003337,1176
10077578,1173
10127332,1172
10107343,1170
1012880,1165
10086844,1162
10045476,1151
10056657,1148
10111130,1143
10034729,1131
10024339,1130
10004534,1128
10139279,1123
10009195,1120
10057690,1120
10059369,1113
10123201,1112
10070316,1111
10049203,1105
10025484,1104
101000,1099
10013878,1096
10024707,1096
10044752,1089
10018382,1084
1010514,1079
10095628,1070
10020962,1069
10092150,1068
10020768,1062
10127761,1061
10075554,1054
10020296,1054
10090309,1052
10080812,1051
10087745,1047
10130597,1046
10146055,1045
10075523,1044
10073791,1043
10048091,1037
10077141,1032
10033444,1031
10118010,1031
10059614,1024
10114449,1020
10059443,1019
10121736,1014
1013276,1013
10114048,1012
10048100,1008
10045298,1006
10100459,1005
10044936,1004
10126784,996
10067203,994
10112770,993
10077023,991
10133492,991
1002249,990
1002293,989
10077174,989
10124789,988
10129379,977
10022471,975
10115512,973
10105036,972
10124155,971
10091658,971
10026119,970
1006556,970
10092023,970
1014163,967
10120406,959
10059897,958
10132946,954
10026839,953
10085081,953
10020122,950
10068072,949
10006406,947
10078920,947
1007640,945
10112287,943
10095421,943
10062699,940
10063573,939
10092142,939
10010818,938
10075239,936
10034820,935
10109936,934
10083153,932
10113753,931
10109106,929
10131277,927
10052102,926
10144540,926
10145092,924
1013913,924
1010743,920
10026657,919
10060004,918
10011449,917
10016683,915
10142554,911
10071232,907
10089791,906
10142201,903
10087656,903
10082656,900
10035323,896
10047050,895
10065352,892
10036130,892
10147429,891
10030427,888
10040251,888
10082743,887
10119356,885
10100084,882
10104666,880
10078368,876
10077113,875
10041575,875
10006832,875
10003375,872
10114458,868
10093534,866
10076120,865
10050775,864
10027713,864
10114349,863
10134919,863
10042821,862
1002265,860
10064111,858
10024528,852
10106420,851
10059211,850
10068770,846
10142971,845
10086967,840
10065158,835
1010830,831
10047260,829
1009175,826
10059669,824
10107877,823
10142273,822
10057219,822
10116716,821
10085719,821
10142674,811
10050817,811
10047767,808
10029978,807
10081542,805
10146235,805
10090661,802
10131642,800
10125800,798
10078029,793
10082301,791
10057718,791
10027558,784
10054754,783
10051828,782
10076038,781
10067081,781
1008472,780
10010008,779
10097744,777
10005590,777
10133460,775
10070593,771
101307,769
10019638,769
10079926,769
10089963,769
10056712,768
1006199,768
10047783,767
10074527,766
10002929,766
10066733,765
10016630,765
1013849,764
10010880,762
10099398,761
10070841,761
10017541,761
10045235,759
10034113,759
1009114,758
10080862,757
10033816,756
10087686,748
10030855,747
10146911,745
10144368,745
10055044,743
10023542,743
10143380,742
10040634,742
10023049,740
10017244,738
10013412,736
10099546,734
10054741,730
10061185,727
10030557,727
1003858,725
10020038,724
10134164,723
10054284,720
10096104,718
10046097,716
10085577,715
10107302,715
10042116,711
10062536,710
10005931,710
1003213,709
10039146,707
10011260,706
10062902,706
1007013,705
10142269,705
10037285,702
10052775,702
10039198,701
10086799,701
10045780,698
1004665,697
10102200,691
10059725,689
10027203,688
10107016,688
1004893,687
10099008,685
10049154,683
10112336,683
10123922,680
10102181,680
10070708,679
