author,total_comments
10001342,5008
10001200,1263
10001161,612
10000182,569
10000025,541
10000485,523
1000082,459
1000040,408
1000003,403
10001122,358
10000227,345
10001432,341
10000528,308
10001522,301
10001291,295
10001055,254
10000039,249
10000561,248
10000301,211
10000076,180
10001420,177
10001238,176
10000799,166
10000279,165
10000588,163
10000550,158
10000436,143
10000874,141
10000070,136
10000413,131
10000650,121
1000142,116
10000058,111
10000895,108
10000211,102
10001518,99
10000223,96
10000569,93
10000968,90
10000320,87
10001302,86
1000121,85
10001078,82
100014,81
10000700,75
10000291,75
10000305,75
10000546,74
10000826,73
10000361,71
10000055,70
10000517,69
10000821,69
10000178,68
10001471,67
10001543,67
10000486,65
1000058,64
10000525,64
10001256,63
1000147,60
10000238,60
10000062,58
10000472,55
10000879,54
10000805,54
10000601,54
10001478,54
10001372,53
10000756,52
10000932,49
1000146,48
10000441,47
10001440,47
10000818,46
10001097,45
10001419,44
10001018,44
10001089,43
10000940,43
10001426,43
10000934,43
10001352,43
10000161,41
1000094,40
10000676,39
10001150,39
10001318,38
10000370,38
10001262,38
1000124,37
10000312,37
10000029,35
10000141,35
10000705,35
10000003,34
10001169,34
10001266,34
10000534,34
10000876,34
1000033,33
10000418,33
1000027,33
10000503,32
10001474,32
10000570,31
10000034,31
10001248,31
10001251,31
10000378,30
10000832,30
10001003,30
10000131,30
10000944,30
10000140,30
10000337,30
10001132,29
10000977,29
10000755,29
10000816,29
10000252,28
10000739,28
10000954,28
10001114,27
1000153,27
10000268,27
10000811,27
10000714,26
10001528,26
10000425,26
10001120,25
10000763,25
10000439,25
10001125,25
10000258,25
10000808,24
10000677,24
10001106,24
10000176,24
10000042,24
10000484,24
10000377,23
10000946,23
10001301,23
10001088,23
10000142,23
10001435,22
10001058,22
10000449,22
10001214,22
10000809,21
10001115,21
10000860,21
1000104,21
10001403,21
10000299,21
10001313,21
10001482,20
1000004,20
10001109,20
10000277,20
10000353,20
10000521,19
10000381,19
10001366,19
10001135,19
10001489,19
10001303,18
10000807,18
10000623,18
10001253,18
10000461,18
10000647,18
10000680,18
10000957,18
10001457,18
10000080,17
10001413,17
10000938,17
10000730,17
10000608,17
10000646,17
10000702,17
10000244,17
1000018,17
10001236,16
10001156,16
10000914,16
1000148,16
10000088,16
10001255,16
10000753,16
10000064,16
1000009,16
10000731,16
10000270,16
10000848,16
10001249,16
10000567,15
10000387,15
10000373,15
10001048,15
10000641,15
10001530,15
10000632,15
10001181,15
10000742,15
10001397,15
10001317,15
10000792,14
10001008,14
10000708,14
10000965,14
10001404,14
10000948,14
100013,14
10001540,14
10001186,14
10000795,14
10000444,14
10000259,14
10000800,14
10000910,14
10000687,14
10000434,14
10001226,14
10000146,13
10000921,13
10000905,13
10000399,13
10000369,13
10000566,13
10001389,13
10000010,13
10000455,13
10000776,13
10000188,13
10001053,13
10000469,13
10001026,13
10000388,12
10000050,12
10001402,12
10000865,12
10000066,12
1000017,12
10000253,12
10000077,12
10001385,12
10001204,12
10000315,12
1000042,12
10001280,12
10000825,12
10000583,12
10000217,11
10000548,11
10001441,11
1000031,11
10000519,11
10000791,11
1000062,11
10000966,11
10001072,11
10001298,11
10001065,11
10001243,11
10000603,11
10000498,11
1000106,11
10001121,11
10001283,11
10000371,11
10001092,11
10000120,11
1000101,10
10000514,10
10001096,10
10000443,10
10000770,10
1000045,10
10001112,10
10001472,10
100000,10
10001197,10
10000741,10
10001454,10
10000193,10
10000890,10
1000012,10
10001320,10
10000492,10
10001354,10
10000152,10
10001514,10
10001325,10
10000474,10
10000261,10
10000156,10
10001414,10
10000382,10
10000275,10
1000131,9
10001116,9
10000587,9
10001470,9
10001158,9
10001224,9
10000864,9
1000006,9
10000466,9
10000559,9
10000665,9
10000568,9
10000986,9
10001299,9
10000350,9
10000779,9
10000287,9
10000764,9
100012,9
10001041,9
10001504,9
10000673,8
10000706,8
10000290,8
10000689,8
10000605,8
10001218,8
10001290,8
10001067,8
10001524,8
10001409,8
10001361,8
10001332,8
10000023,8
10000949,8
10001309,8
10001172,8
10000529,8
1000000,8
10001227,8
10001068,8
10000452,7
10001044,7
10001491,7
10001039,7
