video_id,commenter_count,degree,betweenness,community
--5jFlEc51o,10,2,0.0,
--7kFu0_sEM,11,11,0.0,
--GZjSA5hmo,12,0,0.0,
--IS0XiNdpk,12,2,0.0,
--JinobXWPk,13,0,0.0,
--R9vFFLCrI,11,1,0.0,
--SCDa1zsYI,13,3,0.0,
--SWeoTA1MU,18,90,0.0,
--Zu1IYcUl0,29,43,1.2159533073929962e-06,
--aF2wjjhiM,11,4,0.0,
--cbHHOHSFU,10,1,0.0,
--rJwJuXuOI,16,11,1.424402445803224e-05,
--xZ2-F11kM,25,8,0.0,
-00Q7LDieAo,15,10,0.0,
-03HXIDAqDI,11,3,0.0,
-04GDJtFSjk,12,8,0.0,
-0Ao4t_fe0I,12,0,0.0,
-0Apn36p8AE,47,15,0.00011308365758754864,
-0Fikjy8zxY,40,87,0.0003104155086158977,
-0LgSGDNmug,33,70,0.0,
-0M6pw233DA,10,1,0.0,
-0MxCQmlmmE,14,9,0.0,
-0W7yjJ1hhE,22,10,0.0,
-0Xa4bHcJu8,15,4,0.0,
-0Z06CyRw-E,19,1,0.0,
-0gED3rn2Tc,21,2,1.7370761534185658e-05,
-0hciWG6HZk,10,1,0.0,
-0oY84Fn_9Y,16,13,4.168982768204558e-06,
-0qaep4FPgk,10,9,0.0,
-0qg0tkKJWY,22,26,1.1290994997220679e-05,
-0y-xPG5n5g,13,0,0.0,
-0zoWMSEOGg,30,13,0.0,
-10T1cvfswg,11,2,0.0,
-11bFONAbzg,11,2,0.0,
-15h2iK7MEs,17,46,0.0,
-16fVCp9oio,28,16,0.00016710672595886603,
-1BDVpHJqNo,47,81,0.0011089783676116363,
-1Bk9PXic0w,19,0,0.0,
-1QeJAmpvGk,25,7,0.0,
-1Tg2-NuEVU,13,5,0.0,
-1UerxGKPu4,22,16,3.4741523068371317e-07,
-1Z_9B7-V28,10,4,0.0,
-1bxv9JvA_E,18,181,0.0,
-1ePyQ44-PA,19,4,0.0,
-1exOol0GBM,29,84,5.541272929405225e-05,
-1fdpybF-8Y,12,19,0.0,
-1hYTn7DP54,10,2,0.0,
-1hg6VrXcjg,11,4,0.0,
-1i5K751oww,38,75,2.536131183991106e-05,
-1is7e6ErkU,26,100,1.7370761534185658e-05,
-1jOm_dfs0w,43,94,0.00025917176209005,
-1n_FgHFajs,10,13,0.0,
-23z_lHS2lk,18,8,1.7370761534185658e-07,
-26bcvPaHh4,16,3,0.0,
-2CVvbvUbEg,12,2,1.7370761534185658e-05,
-2CjqFwqz2w,10,0,0.0,
