likes,count
0,3001528
1,322460
2,90776
3,45268
4,28209
5,19276
6,14192
7,10946
8,8881
9,6885
10,5647
11,4859
12,4260
13,3867
14,3300
15,3034
16,2759
17,2434
18,2132
19,1935
20,1882
21,1689
22,1586
23,1455
24,1347
25,1352
26,1232
27,1150
28,1024
29,1023
30,1021
31,984
32,939
33,847
34,813
35,818
36,727
37,725
38,690
39,660
40,680
41,628
42,581
43,589
44,578
45,565
46,505
47,497
48,481
49,479
50,462
51,443
52,435
53,411
54,414
55,444
56,369
57,421
58,359
59,377
60,368
61,361
62,328
63,306
64,364
65,316
66,277
67,340
68,279
69,285
70,281
71,267
72,283
73,258
74,236
75,263
76,280
77,272
78,243
79,267
80,223
81,253
82,226
83,217
84,217
85,236
86,218
87,197
88,200
89,201
90,203
91,176
92,197
93,163
94,181
95,168
96,147
97,165
98,153
99,163
100,153
101,162
102,134
103,161
104,128
105,142
106,146
107,158
108,139
109,143
110,144
111,147
112,141
113,118
114,135
115,132
116,121
117,128
118,138
119,131
120,154
121,115
122,103
123,130
124,121
125,107
126,125
127,138
128,122
129,112
130,108
131,103
132,102
133,109
134,109
135,123
136,110
137,86
138,114
139,94
140,104
141,96
142,95
143,94
144,95
145,96
146,116
147,96
148,94
149,91
150,88
151,96
152,87
153,89
154,73
155,91
156,91
157,100
158,64
159,91
160,84
161,77
162,65
163,101
164,78
165,96
166,89
167,62
168,75
169,84
170,91
171,70
172,73
173,77
174,62
175,88
176,71
177,57
178,59
179,57
180,71
181,65
182,73
183,55
184,64
185,59
186,59
187,67
188,48
189,52
190,71
191,61
192,68
193,76
194,44
195,58
196,66
197,61
198,49
199,64
200,51
201,55
202,54
203,69
204,51
205,62
206,49
207,58
208,64
209,67
210,54
211,54
212,38
213,50
214,69
215,41
216,58
217,44
218,56
219,63
220,49
221,49
222,64
223,45
224,33
225,53
226,45
227,57
228,54
229,52
230,47
231,56
232,52
233,52
234,54
235,48
236,48
237,50
238,45
239,47
240,47
241,46
242,38
243,49
244,48
245,37
246,45
247,37
248,48
249,34
250,48
251,46
252,44
253,36
254,47
255,35
256,44
257,39
258,48
259,37
260,38
261,38
262,40
263,42
264,42
265,34
266,46
267,48
268,24
269,39
270,35
271,39
272,41
273,35
274,39
275,38
276,45
277,35
278,43
279,32
280,39
281,29
282,41
283,44
284,34
285,34
286,29
287,26
288,27
289,32
290,38
291,31
292,49
293,33
294,29
295,29
296,36
297,31
298,40
299,45
300,31
301,36
302,37
303,33
304,30
305,25
306,29
307,29
308,34
309,30
310,35
311,26
312,25
313,38
314,27
315,22
316,27
317,35
318,21
319,31
320,20
321,22
322,19
323,25
324,37
325,24
326,20
327,20
328,40
329,22
330,26
331,31
332,24
333,24
334,22
335,22
336,23
337,21
338,23
339,30
340,27
341,30
342,23
343,20
344,29
345,20
346,32
347,20
348,25
349,36
350,19
351,28
352,15
353,20
354,30
355,17
356,22
357,23
358,28
359,18
360,23
361,33
362,36
363,25
364,22
365,23
366,27
367,32
368,32
369,22
370,32
371,19
372,21
373,14
374,28
375,19
376,10
377,14
378,19
379,19
380,16
381,18
382,26
383,21
384,22
385,13
386,21
387,22
388,26
389,28
390,10
391,21
392,21
393,24
394,18
395,16
396,15
397,17
398,21
399,14
400,26
401,18
402,24
403,24
404,22
405,26
406,24
407,25
408,18
409,20
410,27
411,21
412,17
413,13
414,15
415,23
416,22
417,15
418,20
419,24
420,14
421,16
422,20
423,14
424,22
425,15
426,16
427,15
428,19
429,15
430,22
431,19
432,19
433,14
434,15
435,21
436,20
437,17
438,17
439,17
440,20
441,13
442,13
443,17
444,22
445,20
446,22
447,18
448,20
449,16
450,10
451,13
452,21
453,16
454,10
455,16
456,25
457,15
458,22
459,24
460,14
461,17
462,19
463,17
464,17
465,15
466,12
467,27
468,5
469,18
470,20
471,16
472,18
473,17
474,9
475,25
476,15
477,13
478,18
479,16
480,10
481,17
482,14
483,19
484,12
485,12
486,9
487,21
488,13
489,11
490,7
491,13
492,16
493,13
494,16
495,12
496,11
497,14
498,12
499,10
500,9
501,12
502,10
503,18
504,19
505,21
506,16
507,15
508,14
509,26
510,13
511,4
512,19
513,11
514,21
515,16
516,12
517,7
518,13
519,14
520,14
521,11
522,18
523,12
524,9
525,12
526,11
527,15
528,6
529,18
530,13
531,12
532,14
533,13
534,12
535,11
536,10
537,14
538,15
539,12
540,13
541,11
542,14
543,7
544,7
545,10
546,12
547,12
548,8
549,15
550,11
551,7
552,6
553,4
554,17
555,19
556,7
557,8
558,5
559,13
560,14
561,15
