replies,count
0,3487482
1,75339
2,25411
3,13248
4,8562
5,5890
6,4499
7,3413
8,2808
9,2300
10,1943
11,1621
12,1460
13,1295
14,1066
15,894
16,821
17,760
18,663
19,581
20,550
21,453
22,450
23,417
24,401
25,357
26,290
27,268
28,275
29,249
30,207
31,213
32,206
33,164
34,167
35,133
36,162
37,156
38,142
39,120
40,116
41,119
42,133
43,100
44,88
45,104
46,91
47,72
48,69
49,63
50,66
51,62
52,57
53,60
54,51
55,58
56,46
57,58
58,42
59,55
60,43
61,41
62,26
63,44
64,31
65,30
66,32
67,35
68,28
69,18
70,22
71,29
72,28
73,30
74,26
75,33
76,18
77,27
78,14
79,18
80,18
81,18
82,15
83,23
84,21
85,19
86,19
87,15
88,13
89,14
90,17
91,12
92,8
93,16
94,13
95,13
96,8
97,10
98,7
99,10
100,8
101,8
102,9
103,7
104,4
105,12
106,10
107,5
108,5
109,12
110,6
111,7
112,9
113,4
114,6
115,7
116,6
117,9
118,10
119,6
120,3
121,5
122,10
123,4
124,9
125,7
126,8
127,6
128,3
129,5
130,3
131,3
132,1
133,3
134,4
135,6
136,5
137,3
138,4
139,4
140,3
141,1
142,3
143,4
144,2
145,8
146,1
147,1
148,3
149,5
150,2
151,2
152,5
153,4
154,3
155,1
156,2
157,1
158,1
159,1
160,3
161,2
162,3
163,1
164,1
166,1
167,1
168,1
169,4
170,1
171,2
172,3
173,1
174,2
176,3
177,1
178,3
179,2
180,1
181,2
182,3
183,2
185,4
186,1
188,1
189,1
193,1
194,2
196,1
197,1
198,1
201,3
202,1
204,1
206,2
210,1
211,2
213,2
214,3
216,1
218,1
221,2
228,1
229,3
230,1
234,2
235,1
236,1
237,2
238,1
240,1
241,1
242,1
243,1
244,1
246,1
248,2
249,1
250,1
255,1
259,1
261,1
265,1
266,1
268,2
273,1
274,1
276,2
277,1
279,1
283,2
287,2
290,1
291,1
292,3
293,1
294,1
298,1
303,1
304,1
305,1
310,1
311,2
313,2
314,2
315,1
316,2
320,2
329,2
330,2
331,1
333,2
336,1
341,2
343,1
352,1
353,2
357,1
359,1
362,1
364,1
369,1
370,2
372,1
375,1
386,1
395,1
402,1
407,1
416,1
417,1
422,1
426,1
427,1
434,1
435,1
437,1
440,1
446,1
451,1
456,1
457,1
459,1
461,2
462,1
465,1
467,1
472,2
477,2
479,1
481,1
484,2
488,1
489,1
490,1
491,4
492,4
493,1
494,1
495,1
496,1
497,1
498,1
499,3
501,1
