comments_per_video,video_count
10,3765
11,5581
12,5554
13,4993
14,4105
15,3269
16,2506
17,1900
18,1501
19,1084
20,938
21,934
22,912
23,1104
24,1301
25,1362
26,1605
27,1565
28,1583
29,1631
30,1710
31,1596
32,1536
33,1565
34,1494
35,1373
36,1388
37,1294
38,1214
39,1147
40,1113
41,1095
42,996
43,1052
44,923
45,850
46,828
47,836
48,705
49,716
50,625
51,602
52,602
53,560
54,543
55,561
56,530
57,463
58,487
59,448
60,424
61,395
62,372
63,366
64,372
65,337
66,337
67,328
68,314
69,299
70,285
71,249
72,266
73,221
74,260
75,216
76,231
77,234
78,201
79,206
80,195
81,191
82,192
83,174
84,178
85,145
86,162
87,166
88,145
89,134
90,147
91,124
92,132
93,127
94,145
95,109
96,139
97,108
98,101
99,123
100,96
101,101
102,100
103,98
104,85
105,92
106,98
107,92
108,77
109,85
110,83
111,83
112,75
113,87
114,78
115,53
116,79
117,74
118,74
119,56
120,46
121,72
122,57
123,52
124,64
125,58
126,58
127,63
128,52
129,49
130,52
131,43
132,41
133,40
134,36
135,34
136,43
137,39
138,39
139,53
140,46
141,36
142,44
143,33
144,48
145,43
146,26
147,40
148,43
149,32
150,35
151,40
152,21
153,37
154,32
155,23
156,30
157,44
158,27
159,31
160,30
161,36
162,33
163,28
164,30
165,40
166,23
167,33
168,25
169,23
170,26
171,26
172,26
173,23
174,21
175,20
176,14
177,30
178,12
179,30
180,20
181,22
182,20
183,13
184,16
185,15
186,27
187,19
188,14
189,19
190,9
191,24
192,10
193,20
194,21
195,15
196,16
197,13
198,16
199,19
200,13
201,16
202,6
203,19
204,14
205,14
206,13
207,15
208,16
209,10
210,12
211,10
212,7
213,15
214,11
215,20
216,11
217,10
218,12
219,11
220,7
221,15
222,5
223,10
224,13
225,15
226,9
227,7
228,10
229,10
230,11
231,9
232,8
233,7
234,9
235,4
236,11
237,9
238,5
239,3
240,7
241,9
242,7
243,12
244,10
245,8
246,8
247,8
248,9
249,7
250,5
251,6
252,8
253,3
254,10
255,2
256,5
257,8
258,11
259,4
260,6
261,5
262,6
263,2
264,3
265,8
266,3
267,6
268,7
269,5
270,6
271,3
272,8
273,5
274,7
275,5
276,3
277,9
278,8
279,1
280,6
281,6
282,3
283,5
284,11
285,5
286,4
287,5
288,3
289,3
290,6
291,4
292,9
293,4
294,4
295,6
296,6
297,4
298,4
299,3
300,3
301,5
302,6
303,4
304,4
305,4
306,4
307,3
308,1
309,4
310,4
311,2
312,6
313,4
314,1
315,1
316,1
317,10
318,1
319,6
320,4
321,4
322,2
323,2
324,2
325,4
326,3
327,2
328,3
329,2
330,4
331,6
332,5
333,1
334,6
335,2
336,1
337,3
338,4
340,2
341,3
342,6
343,3
344,5
345,4
346,2
347,2
348,1
349,3
350,2
351,5
352,2
353,2
354,5
357,1
358,5
359,2
360,3
361,1
362,1
363,2
364,1
365,3
366,1
367,2
368,3
370,3
371,1
372,1
375,2
376,3
377,3
379,3
380,1
381,2
382,2
383,3
384,1
385,2
386,1
387,1
388,2
389,1
391,2
392,2
393,2
394,1
396,3
398,5
399,1
400,3
401,2
402,1
403,1
405,2
406,3
407,1
408,1
409,3
410,2
412,2
413,3
414,1
416,3
417,2
418,3
419,1
420,2
421,2
422,1
423,2
424,2
425,2
426,1
427,2
429,1
430,1
431,1
432,1
434,2
435,1
439,2
440,2
441,1
442,3
443,1
444,2
446,1
448,1
450,1
451,1
452,1
453,1
454,1
455,1
456,2
457,1
458,1
459,2
460,2
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
471,2
472,1
473,1
476,1
477,1
478,2
479,2
480,1
481,1
482,1
483,2
485,2
486,2
487,4
488,1
489,2
490,2
491,1
493,2
497,1
500,1
501,1
503,1
504,1
505,1
509,1
510,2
512,1
516,1
517,2
518,1
520,1
524,3
525,2
526,1
530,1
532,1
534,3
536,1
539,1
542,1
551,1
558,1
560,1
566,1
567,1
573,1
576,1
577,1
578,1
580,1
581,1
584,2
586,1
587,1
589,1
590,2
591,2
594,1
595,2
596,1
599,1
603,2
604,1
605,1
608,1
610,1
614,1
616,2
617,1
622,1
623,1
625,1
628,1
631,2
638,1
642,1
643,1
645,1
650,1
652,1
656,1
663,1
671,1
673,2
675,1
677,1
678,1
682,1
688,2
689,1
692,1
693,1
695,1
701,1
703,1
712,1
716,1
718,1
720,1
724,1
725,1
726,1
732,1
734,1
741,1
742,1
746,1
755,1
762,1
764,1
781,1
800,2
801,1
816,1
837,2
839,1
852,1
862,1
884,1
887,1
891,1
893,1
941,2
953,1
954,1
959,1
962,1
963,1
975,1
986,1
1016,1
1024,1
1029,1
1038,1
1047,1
1070,1
1083,1
1101,1
1137,1
1143,1
1150,1
1158,1
1172,1
1178,1
1290,1
1294,1
1473,1
1515,1
1525,1
1633,1
1659,1
1768,1
1906,1
1998,1
2302,1
