video_id,type,degree
MvnRjrwRKM4,neighbor,44
AeNYDwbm9qw,neighbor,92
vhi9txstACc,neighbor,59
a55vWNlfR3k,neighbor,55
9IINOQXl-6Q,neighbor,40
LbYrnK6tY1g,neighbor,33
rjbeuzrDtEI,neighbor,34
Y5H8PvY4eLc,neighbor,41
9POfmE1jNyw,neighbor,9
GP5k7I70qlI,neighbor,9
nWA1xIXfWOA,neighbor,117
9TyU2gIRgtI,neighbor,4
5DXRdOvZYsE,neighbor,222
-T4bmlCQS9c,neighbor,14
sV0d6m1ttcA,neighbor,52
-rmfPnccKN4,neighbor,192
P8hTt7aUTrA,neighbor,148
TdK0TNa-B24,neighbor,100
rSrelt1o5sM,neighbor,55
4_qKaiGqALo,neighbor,39
cISWxaayz6A,neighbor,4
A2HLUvM1c68,neighbor,3
JSLKZjysmAM,neighbor,122
bzRK-Pa_0Xg,neighbor,12
X3-TsbQJlmk,neighbor,100
U1eD-hzXusY,neighbor,51
ewRxXzQkt14,neighbor,11
-6G6CZT7h4k,neighbor,116
gBXQ9eQpijc,neighbor,126
3HZAryGmvDM,neighbor,11
G9wI_iNJg2Q,neighbor,92
zn7-fVtT16k,neighbor,126
b3KUyPKbR7Q,neighbor,5
_ZufkBm0vZs,neighbor,26
Y52XyWLzZqY,neighbor,18
sLjAs0h36Fg,neighbor,39
HXeI7WZOpEs,neighbor,27
OZMBG4Pn3Sg,neighbor,154
iWdDLkLMYOw,neighbor,190
6PM4snxz6Eo,neighbor,105
csVcUikRj70,neighbor,21
zAq74xXeLJg,neighbor,61
myTOXhitU7E,neighbor,66
_vI0Wmxc2cY,neighbor,63
COopa3JqI0A,neighbor,38
1qtg5yyXvXg,neighbor,20
vzJmUDOLv4g,neighbor,41
s7QE62FDn08,neighbor,5
uoBbHAgCnKw,neighbor,2
vmPRJJSQQl8,neighbor,14
TC_ylFvU3P0,neighbor,23
1_nYWh5otWM,neighbor,17
Djoa9IlQ7fc,neighbor,88
57fTojKivXo,neighbor,145
OoDqAr8Z8tY,neighbor,39
eHCyaJS4Cbs,neighbor,97
r0ef2LeH6L8,neighbor,72
ker8gppRbdM,neighbor,4
CqGB11V0yYg,neighbor,26
0FIG0EXmK94,neighbor,42
yh4ZtcLbLeg,neighbor,2
uaLoDObiFPs,neighbor,35
fI947wgrVsk,neighbor,84
CtuJAs7hSaA,neighbor,26
iJkB9GKejkA,neighbor,45
BL3Rs7TZVLs,neighbor,34
SCfA1hbowcw,neighbor,101
e6q41nVwJoo,neighbor,50
XdZ6Dy96Q_s,neighbor,23
eN7dYDYfvVg,neighbor,74
PTItZAuIP6k,neighbor,28
CxerH3TpsgY,neighbor,186
5MXSGKxJfvo,neighbor,196
-tC0LeKvI0k,neighbor,20
mtdQE6SaOiM,neighbor,19
r8rCbHB1i8A,neighbor,144
LBcke5Btoss,neighbor,115
