rank,video_id,metric_value,title,channel,views
1,FCjiMVHbXlQ,584,Harlem Shake FAIL,PewDiePie,24333890.0
2,NsrEb1aJxMY,580,$10 Million Celebrity Mansion for a Day,shane,18040917.0
3,8xFtIsyRvNE,573,The Truth About Tanacon,shane,22719764.0
4,9q2PgfYbppY,549,The Secret Life of Jeffree Star,shane,21517643.0
5,rVWZuXDkc4A,540,The World of Jake Paul,shane,21005641.0
6,eExAkGrcoQ8,539,GHOST HUNTING IN A HAUNTED TOY STORE with GRAV3YARDGIRL,shane,15667395.0
7,Hon5Y13M3oA,537,The Enemies of Jake Paul,shane,19881393.0
8,mboyQGH3eqw,520,The Ex Girlfriend of Jake Paul,shane,18777552.0
9,qQAoWXzEy9E,509,SINGING with NOISE CANCELLING HEADPHONES!,shane,6173197.0
10,SLFOqYjmroA,506,The Truth About Tana Mongeau,shane,17635407.0
11,LJnpwL-2Drc,503,asdfmovie11,TomSka,20366744.0
12,LU6xDgpnIyM,490,CONFRONTING MY DAD,shane,9259924.0
13,slWT2N3NIKM,484,DARKIPLIER vs ANTISEPTICEYE,Markiplier,13031331.0
14,xACdTzmyaQI,469,Dan's Diss Track - ROAST YOURSELF CHALLENGE,Daniel Howell,10992887.0
15,pZ0lK60WuZ4,468,I'm Done,shane,14803852.0
16,uxtT_6d0DWQ,468,Becoming Jeffree Star for a Day,shane,32928021.0
17,MLvb3pWk-rU,467,Switching Lives with Jeffree Star,shane,32451321.0
18,cN9Xhtb345w,459,mayonnaise,FuPoo,22006475.0
19,zpWYQ1YtgnI,459,Will Smith hosts Meme Review w/ Elon Musk  [MEME REVIEW] 👏 👏#50,PewDiePie,24434040.0
20,6YLY9P-nIAk,443,The Real Truth About Tanacon,shane,16879028.0
